rank,min_ov,max_ov,n_ov1,n_ov2,n_ov3,n_ov4,var_ov,sigma_min,sigma_2nd,d_min,d_max,d_mean,gram_eig_min,fiedler,fiedler_bin,lap_eig3,null_dim,null_min_weight,group
10,1,4,6,24,14,1,0.483951,0.281576,0.449108,2,8,4.3333,0.067043,18.741270,10.000000,19.661699,0,None,FR
10,1,4,7,23,13,2,0.572840,0.279431,0.627947,2,6,4.0000,0.108782,17.472548,10.000000,20.040986,0,None,FR
10,1,4,7,23,13,2,0.572840,0.311501,0.446090,2,8,4.4444,0.089859,18.360135,10.000000,18.711851,0,None,FR
10,1,4,6,25,12,2,0.528395,0.323286,0.427918,2,8,4.5556,0.062253,17.607012,10.000000,20.174989,0,None,FR
10,1,4,9,19,15,2,0.661728,0.304521,0.607368,2,6,4.2222,0.044477,17.570944,10.000000,18.441673,0,None,FR
10,1,4,7,22,15,1,0.528395,0.202230,0.644211,2,6,4.5556,0.009477,17.913954,10.000000,19.262975,0,None,FR
10,1,4,7,23,13,2,0.572840,0.351596,0.552436,2,8,4.3333,0.097396,18.294447,10.000000,19.363556,0,None,FR
10,1,3,7,21,17,0,0.483951,0.172028,0.692755,2,8,4.6667,0.027218,17.948788,10.000000,20.127668,0,None,FR
10,1,3,7,21,17,0,0.483951,0.423663,0.817407,2,8,4.5556,0.136833,17.223377,10.000000,20.438937,0,None,FR
10,1,3,7,21,17,0,0.483951,0.507325,0.777484,2,8,4.8889,0.104521,18.288977,10.000000,18.915234,0,None,FR
10,1,3,7,21,17,0,0.483951,0.262681,0.480927,2,8,4.6667,0.068987,18.260143,10.000000,20.237169,0,None,FR
10,1,4,9,20,13,3,0.706173,0.466560,0.474906,2,6,4.0000,0.054940,17.138284,10.000000,18.358148,0,None,FR
10,1,4,7,24,11,3,0.617284,0.398797,0.469040,2,8,4.4444,0.064227,17.475055,10.000000,19.235303,0,None,FR
10,1,4,8,21,14,2,0.617284,0.306034,0.655152,2,8,4.5556,0.060055,18.008319,10.000000,19.198365,0,None,FR
10,1,4,6,24,14,1,0.483951,0.222378,0.611339,2,8,4.4444,0.021662,18.324445,10.000000,20.067822,0,None,FR
10,1,3,10,15,20,0,0.617284,0.356751,0.477310,2,8,4.4444,0.040920,17.714971,10.000000,19.506018,0,None,FR
10,1,4,7,24,11,3,0.617284,0.305538,0.595116,2,8,4.5556,0.034586,17.587763,10.000000,19.247266,0,None,FR
10,1,3,8,19,18,0,0.528395,0.248058,0.579362,2,8,4.3333,0.029419,18.212230,10.000000,19.241104,0,None,FR
10,1,4,7,23,13,2,0.572840,0.381098,0.415718,2,8,4.5556,0.040193,18.211630,10.000000,18.960804,0,None,FR
10,1,4,6,25,12,2,0.528395,0.247011,0.506345,2,6,4.5556,0.021163,18.070858,10.000000,19.011199,0,None,FR
10,1,3,5,25,15,0,0.395062,0.133410,0.777484,2,8,4.7778,0.012407,18.915234,10.000000,19.413354,0,None,FR
10,1,3,6,23,16,0,0.439506,0.158219,0.710683,2,8,4.7778,0.005882,18.458801,10.000000,20.023705,0,None,FR
10,1,4,9,20,13,3,0.706173,0.390279,0.618034,2,6,3.7778,0.103791,17.171678,10.000000,18.489995,0,None,FR
10,1,4,9,18,17,1,0.617284,0.322356,0.562304,2,8,4.0000,0.064294,17.459171,10.000000,19.123771,0,None,FR
10,1,4,9,18,17,1,0.617284,0.288002,0.591047,2,8,4.0000,0.057928,17.758891,10.000000,18.750667,0,None,FR
10,1,4,10,17,16,2,0.706173,0.450908,0.522359,2,8,4.1111,0.099702,17.323210,10.000000,18.506473,0,None,FR
10,1,3,6,23,16,0,0.439506,0.232868,0.443195,2,8,4.7778,0.051098,18.402851,10.000000,20.055234,0,None,FR
10,1,4,9,22,9,5,0.795062,0.345082,0.598304,2,8,4.5556,0.023774,15.559289,10.000000,20.166839,0,None,FR
10,1,4,8,22,12,3,0.661728,0.300212,0.762011,2,8,4.6667,0.089820,17.634591,10.000000,18.838570,0,None,FR
10,1,4,8,21,14,2,0.617284,0.244710,0.595110,2,6,3.8889,0.054738,16.990167,10.000000,19.544784,0,None,FR
10,1,4,9,20,13,3,0.706173,0.251815,0.566409,2,8,4.7778,0.031791,15.866140,10.000000,20.333797,0,None,FR
10,1,4,8,21,14,2,0.617284,0.266811,0.553681,2,8,4.5556,0.051347,17.557686,10.000000,19.048261,0,None,FR
10,1,4,7,23,13,2,0.572840,0.236070,0.718845,2,8,4.5556,0.011322,17.909089,10.000000,19.014433,0,None,FR
10,1,4,5,26,13,1,0.439506,0.163101,0.765256,2,6,4.6667,0.029478,18.985471,10.000000,19.457538,0,None,FR
10,1,4,7,23,13,2,0.572840,0.334217,0.425799,2,8,4.3333,0.049327,17.926775,10.000000,19.496318,0,None,FR
10,1,4,8,22,12,3,0.661728,0.305946,0.565229,2,8,4.3333,0.054039,16.756082,10.000000,19.749744,0,None,FR
10,1,4,8,21,14,2,0.617284,0.387535,0.434171,2,8,4.2222,0.074672,18.202020,10.000000,18.520176,0,None,FR
10,1,4,10,16,18,1,0.661728,0.312424,0.624781,2,8,4.6667,0.062345,17.650500,10.000000,18.450711,0,None,FR
10,1,4,6,24,14,1,0.483951,0.223854,0.592107,2,8,4.6667,0.022580,18.696012,10.000000,19.450131,0,None,FR
10,1,4,6,25,12,2,0.528395,0.234981,0.501262,2,8,4.3333,0.012944,18.255216,10.000000,18.876836,0,None,FR
10,1,4,10,19,12,4,0.795062,0.373152,0.563248,2,8,4.6667,0.048744,15.942977,10.000000,19.241392,0,None,FR
10,1,4,9,19,15,2,0.661728,0.329467,0.646669,2,8,4.2222,0.090097,17.064730,10.000000,19.394854,0,None,FR
10,1,4,7,22,15,1,0.528395,0.285826,0.519199,2,8,4.3333,0.041890,18.197644,10.000000,19.534278,0,None,FR
10,1,4,7,23,13,2,0.572840,0.223702,0.621344,2,8,4.8889,0.038134,16.940977,10.000000,20.431658,0,None,FR
10,1,3,9,17,19,0,0.572840,0.214655,0.595776,2,8,4.6667,0.049554,17.414195,10.000000,19.133552,0,None,FR
10,1,4,8,21,14,2,0.617284,0.267828,0.699374,2,8,4.6667,0.021033,17.744762,10.000000,19.045941,0,None,FR
10,1,4,8,20,16,1,0.572840,0.314095,0.456463,2,8,4.3333,0.045047,17.390521,10.000000,19.725806,0,None,FR
10,1,4,4,28,12,1,0.395062,0.336754,0.887181,2,8,4.6667,0.113008,18.179656,10.000000,19.774655,0,None,FR
10,1,4,8,20,16,1,0.572840,0.327631,0.434042,2,8,4.5556,0.035570,17.907415,10.000000,19.527899,0,None,FR
10,1,4,7,23,13,2,0.572840,0.291062,0.643306,2,8,4.6667,0.019027,18.229601,10.000000,19.177398,0,None,FR
10,1,4,10,18,14,3,0.750617,0.450156,0.554381,2,8,4.4444,0.096485,16.874243,10.000000,19.173173,0,None,FR
10,1,3,6,23,16,0,0.439506,0.184057,0.642385,2,8,4.7778,0.014952,19.153437,10.000000,19.488526,0,None,FR
10,1,4,7,24,11,3,0.617284,0.304509,0.642531,2,8,4.4444,0.030357,17.168084,10.000000,19.413191,0,None,FR
10,1,4,7,23,13,2,0.572840,0.239053,0.468853,2,8,4.1111,0.035245,16.892120,10.000000,19.898043,0,None,FR
10,1,4,7,23,13,2,0.572840,0.226186,0.676553,2,8,4.7778,0.011069,17.574380,10.000000,19.425353,0,None,FR
10,1,4,7,22,15,1,0.528395,0.285449,0.451532,2,8,4.6667,0.081692,18.182504,10.000000,19.355926,0,None,FR
10,1,4,4,28,12,1,0.395062,0.432223,0.680256,2,8,4.5556,0.202296,18.385823,10.000000,20.108375,0,None,FR
10,1,4,8,20,16,1,0.572840,0.326014,0.460411,2,8,4.6667,0.101401,17.726355,10.000000,20.039564,0,None,FR
10,1,4,8,20,16,1,0.572840,0.280045,0.552148,2,8,4.5556,0.089535,17.703810,10.000000,20.094346,0,None,FR
10,1,4,6,25,12,2,0.528395,0.197063,0.660991,2,6,4.4444,0.052535,17.748327,10.000000,19.834092,0,None,FR
10,1,4,9,18,17,1,0.617284,0.418696,0.546700,2,8,4.5556,0.054700,17.820534,10.000000,19.490325,0,None,FR
10,1,4,8,20,16,1,0.572840,0.165659,0.832499,2,8,4.4444,0.022521,16.959913,10.000000,19.761086,0,None,FR
10,1,4,9,20,13,3,0.706173,0.404153,0.502198,2,6,3.6667,0.151833,16.152445,10.000000,20.485085,0,None,FR
10,1,4,8,21,14,2,0.617284,0.259780,0.666570,2,8,4.5556,0.065438,17.187691,10.000000,19.700644,0,None,FR
10,1,4,6,25,12,2,0.528395,0.216130,0.625441,2,8,4.7778,0.046783,17.977843,10.000000,19.221781,0,None,FR
10,1,4,8,21,14,2,0.617284,0.241674,0.659218,2,8,4.4444,0.074993,16.803633,10.000000,19.656083,0,None,FR
10,1,4,8,20,16,1,0.572840,0.202479,0.799133,2,8,4.7778,0.011991,18.181989,10.000000,18.437378,0,None,FR
10,1,4,7,22,15,1,0.528395,0.350173,0.433109,2,8,4.3333,0.054884,18.935913,10.000000,19.248064,0,None,FR
10,1,4,8,23,10,4,0.706173,0.420374,0.562688,2,8,4.4444,0.042183,16.864164,10.000000,18.955043,0,None,FR
10,1,4,9,20,13,3,0.706173,0.371468,0.504669,2,6,4.2222,0.046635,17.072055,10.000000,18.675228,0,None,FR
10,1,4,9,19,15,2,0.661728,0.341063,0.524664,2,8,4.6667,0.023797,17.071371,10.000000,19.311629,0,None,FR
10,1,4,9,20,13,3,0.706173,0.467050,0.578479,2,8,4.3333,0.101700,17.503243,10.000000,18.912417,0,None,FR
10,1,4,9,20,13,3,0.706173,0.324189,0.565113,2,8,4.4444,0.062472,16.849589,10.000000,18.876866,0,None,FR
10,1,4,8,21,14,2,0.617284,0.343377,0.440548,2,6,3.7778,0.100658,16.863302,10.000000,19.923376,0,None,FR
10,1,4,6,24,14,1,0.483951,0.249873,0.576573,2,8,4.7778,0.025714,18.440909,10.000000,19.679820,0,None,FR
10,1,4,8,20,16,1,0.572840,0.261827,0.579276,2,8,4.6667,0.066694,17.658391,10.000000,19.587038,0,None,FR
10,1,4,10,16,18,1,0.661728,0.413118,0.525878,2,8,4.7778,0.104164,17.216657,10.000000,18.951080,0,None,FR
10,1,4,11,15,17,2,0.750617,0.419072,0.594436,2,8,4.6667,0.084231,17.101233,10.000000,18.397872,0,None,FR
10,1,4,8,21,14,2,0.617284,0.293035,0.580199,2,8,4.2222,0.027171,17.936406,10.000000,18.562867,0,None,FR
10,1,4,7,23,13,2,0.572840,0.275277,0.560129,2,8,4.5556,0.048892,17.527885,10.000000,19.757535,0,None,FR
10,1,4,8,21,14,2,0.617284,0.257166,0.641623,2,8,4.5556,0.021341,17.140409,10.000000,19.562367,0,None,FR
10,1,4,6,25,12,2,0.528395,0.331473,0.483785,2,8,4.4444,0.051322,18.773920,10.000000,19.436200,0,None,FR
10,1,4,7,22,15,1,0.528395,0.203760,0.662083,2,6,4.4444,0.010162,17.509250,10.000000,20.131551,0,None,FR
10,1,4,7,22,15,1,0.528395,0.223381,0.633686,2,8,4.5556,0.020303,17.596667,10.000000,20.120753,0,None,FR
10,1,4,7,23,13,2,0.572840,0.260802,0.628281,2,8,4.4444,0.058863,18.137642,10.000000,18.941465,0,None,FR
10,1,4,9,18,17,1,0.617284,0.382053,0.507412,2,8,4.7778,0.044401,17.547988,10.000000,19.098278,0,None,FR
10,1,4,7,23,13,2,0.572840,0.239867,0.628899,2,8,4.6667,0.031965,17.722896,10.000000,19.395447,0,None,FR
10,1,4,8,21,14,2,0.617284,0.300602,0.480441,2,8,4.6667,0.022849,16.737026,10.000000,20.374726,0,None,FR
10,1,4,11,16,15,3,0.795062,0.437990,0.573003,2,8,4.5556,0.055793,17.301698,10.000000,17.447430,0,None,FR
10,1,4,7,23,13,2,0.572840,0.243146,0.682233,2,8,4.5556,0.012533,18.005877,10.000000,19.297058,0,None,FR
10,1,4,10,17,16,2,0.706173,0.302248,0.674208,2,8,3.7778,0.085035,16.487347,10.000000,19.630840,0,None,FR
10,1,4,8,21,14,2,0.617284,0.247304,0.611503,2,8,4.6667,0.034408,17.063557,10.000000,19.749713,0,None,FR
10,1,4,9,19,15,2,0.661728,0.395116,0.447351,2,8,4.2222,0.052095,17.058930,10.000000,19.484275,0,None,FR
10,1,4,8,20,16,1,0.572840,0.282997,0.501986,2,8,4.4444,0.040936,18.163574,10.000000,18.673934,0,None,FR
10,1,4,7,23,13,2,0.572840,0.269441,0.483922,2,8,4.7778,0.054787,17.372837,10.000000,19.880539,0,None,FR
10,1,4,11,17,13,4,0.839506,0.356669,0.659461,2,8,4.4444,0.061421,15.865210,10.000000,18.523687,0,None,FR
