id,det_A,rank_F2_A,v2_detA
1422,31756,6,2
1423,-60928,5,9
1424,22024,5,3
1425,-81648,5,4
1426,-2184,6,3
1427,-14432,4,5
1428,-104384,5,6
1429,-37088,5,5
1430,37632,4,8
1431,-14464,5,7
1432,-12640,6,5
1433,-58768,6,4
1434,12936,5,3
1435,-62976,6,9
1436,-75984,5,4
1437,32352,5,5
1438,12576,5,5
1439,-33264,6,4
1440,47168,4,6
1441,-86496,5,5
1442,273024,5,7
1443,1312,5,5
1444,1408,5,7
1445,-86688,5,5
1446,6384,5,4
1447,-6908,6,2
1448,14408,6,3
1449,78300,6,2
1450,14672,4,4
1451,-108680,6,3
1452,-13120,3,6
1453,5984,4,5
1454,-79016,6,3
1455,-17056,5,5
1456,-6312,6,3
1457,7072,5,5
1458,49968,6,4
1459,-100992,5,7
1460,21792,4,5
1461,14016,6,6
1462,-125088,4,5
1463,-32688,5,4
1464,185440,5,5
1465,-5920,5,5
1466,12896,5,5
1467,-6272,6,7
1468,41664,6,6
1469,25632,6,5
1470,-18256,6,4
1471,-38128,5,4
1472,120208,5,4
1473,-178624,5,6
1474,-38064,5,4
1475,13520,5,4
1476,-46592,4,9
1477,-26792,6,3
1478,14616,6,3
1479,82368,6,6
1480,40976,5,4
1481,-972,6,2
1482,71424,5,8
1483,-96092,6,2
1484,-105344,4,7
1485,77092,6,2
1486,-22352,5,4
1487,23560,6,3
1488,41248,5,5
1489,5440,4,6
1490,-2196,6,2
1491,-57428,6,2
1492,-81400,6,3
1493,-40504,5,3
1494,-3096,6,3
1495,-9600,5,7
1496,-395716,6,2
1497,72344,5,3
1498,37392,5,4
1499,-238328,6,3
1500,93108,6,2
1501,13968,6,4
1502,48640,5,9
1503,73584,5,4
1504,-33216,5,6
1505,88784,5,4
1506,-209876,6,2
1507,67584,5,11
1508,35920,5,4
1509,26432,5,6
1510,-17088,5,6
1511,-4264,6,3
1512,-163856,6,4
1513,-3680,5,5
1514,-83532,6,2
1515,53832,6,3
1516,-46116,6,2
1517,-30048,5,5
1518,103040,5,7
1519,22264,5,3
1520,6644,6,2
1521,-21080,6,3
1522,13560,5,3
1523,51544,6,3
1524,9136,5,4
1525,-3488,5,5
1526,63120,5,4
1527,-67328,4,8
1528,-161920,5,7
1529,9600,5,7
1530,-88320,4,8
1531,-53560,5,3
1532,48512,5,7
1533,60096,6,6
1534,-94896,6,4
1535,91440,5,4
1536,-12224,5,6
1537,21912,5,3
1538,-13920,5,5
1539,40912,5,4
1540,-12768,5,5
1541,-1864,6,3
1542,-1104,5,4
1543,-21728,5,5
1544,19512,6,3
1545,27088,5,4
1546,-6736,4,4
1547,74632,6,3
1548,44952,6,3
1549,-16032,5,5
1550,70496,6,5
1551,67840,5,8
1552,36744,6,3
1553,61940,6,2
1554,307692,6,2
1555,24096,5,5
1556,68352,5,8
1557,-161960,6,3
1558,-144768,6,7
1559,113760,4,5
1560,64064,6,6
1561,-18584,5,3
1562,-93560,6,3
1563,108096,5,6
1564,-118560,6,5
1565,-30240,5,5
1566,-2952,6,3
1567,44608,5,6
1568,-16272,5,4
1569,11456,5,6
1570,-38424,6,3
1571,-1272,5,3
1572,4656,6,4
1573,12416,5,7
1574,-66040,6,3
1575,-21528,6,3
1576,24344,6,3
1577,-66496,6,6
1578,-9472,6,8
1579,-46888,6,3
1580,-58272,5,5
1581,34736,5,4
1582,60480,5,6
1583,110196,6,2
1584,-19392,5,6
1585,100464,5,4
1586,3200,6,7
1587,55520,5,5
1588,44424,6,3
1589,24944,5,4
1590,616,6,3
1591,-4608,5,9
1592,-101168,5,4
1593,9424,5,4
1594,3680,4,5
1595,39988,6,2
1596,209544,6,3
1597,-58560,6,6
1598,49432,6,3
1599,-8480,5,5
1600,-130176,5,7
1601,-37920,5,5
1602,29616,5,4
1603,38208,6,6
1604,44144,6,4
1605,35648,4,6
1606,54960,6,4
1607,4288,5,6
1608,41568,5,5
1609,-10592,4,5
1610,-85160,6,3
1611,37160,6,3
1612,-43984,6,4
1613,3520,5,6
1614,-41160,6,3
1615,-14896,5,4
1616,-7072,4,5
1617,76536,6,3
1618,-41632,5,5
1619,-69984,5,5
1620,15376,5,4
1621,54884,6,2
1622,5856,6,5
1623,12160,6,7
1624,84384,6,5
1625,296400,5,4
1626,-18144,5,5
1627,285312,5,7
1628,24960,5,7
1629,-8848,5,4
1630,99144,5,3
1631,105536,5,6
1632,-14304,5,5
1633,-102240,6,5
1634,84792,6,3
1635,94032,6,4
1636,30176,5,5
1637,-14112,4,5
1638,-12048,5,4
1639,-46992,6,4
1640,-3200,4,7
1641,-14216,5,3
1642,-111480,6,3
1643,-9728,4,9
1644,-38128,5,4
1645,-149272,6,3
1646,23544,6,3
1647,-38808,6,3
1648,115380,6,2
1649,60928,6,9
1650,-74568,5,3
1651,16896,4,9
1652,-18032,5,4
1653,5536,5,5
1654,888,5,3
1655,-101008,5,4
1656,11376,6,4
1657,114344,6,3
1658,140256,4,5
1659,1728,5,6
1660,531608,5,3
1661,-38376,5,3
1662,-19608,6,3
1663,19488,6,5
1664,8000,4,6
1665,14400,5,6
1666,36640,5,5
1667,-76416,5,7
1668,42000,6,4
1669,38232,5,3
1670,-103680,5,8
1671,70848,6,6
1672,32648,6,3
1673,34688,4,7
1674,24280,6,3
1675,-104048,4,4
1676,21856,6,5
1677,-22336,5,6
1678,-203680,5,5
1679,60212,6,2
1680,-80608,6,5
1681,-23000,5,3
1682,94604,6,2
1683,-14800,6,4
1684,-13608,6,3
1685,97960,6,3
1686,8176,6,4
1687,42080,5,5
1688,139568,5,4
1689,-39480,5,3
1690,-97040,6,4
1691,57852,6,2
1692,10752,5,9
1693,97848,5,3
1694,-109344,6,5
1695,0,5,inf
1696,-22308,6,2
1697,-19372,6,2
1698,16136,6,3
1699,-13784,5,3
1700,73424,6,4
1701,-40360,6,3
1702,-43696,5,4
1703,-23720,6,3
1704,6080,5,6
1705,10368,5,7
1706,37248,5,7
1707,-71552,5,7
1708,4768,4,5
1709,-90816,5,6
1710,31288,6,3
1711,-45760,5,6
1712,-3068,6,2
1713,11024,6,4
1714,-116328,6,3
1715,-35424,4,5
1716,-65280,5,8
1717,-3188,6,2
1718,-4000,5,5
1719,27780,6,2
1720,138424,5,3
1721,5560,6,3
1722,-51700,6,2
1723,-31872,5,7
1724,2192,6,4
1725,31640,5,3
1726,8504,6,3
1727,-62744,6,3
1728,-34264,6,3
1729,-130000,6,4
1730,18112,5,6
1731,47256,6,3
1732,-30048,4,5
1733,-69120,5,9
1734,-8704,4,9
1735,76552,6,3
1736,47200,6,5
1737,69884,6,2
1738,83616,6,5
1739,-253008,6,4
1740,4420,6,2
1741,-13152,5,5
1742,-1304,6,3
1743,60564,6,2
1744,17544,6,3
1745,-8280,6,3
1746,-28656,5,4
1747,42976,5,5
1748,4680,5,3
1749,-17332,6,2
1750,24048,5,4
1751,52128,5,5
1752,74032,5,4
1753,18000,5,4
1754,13920,5,5
1755,134048,4,5
1756,-37352,6,3
1757,-20824,6,3
1758,5248,5,7
1759,97488,5,4
1760,10088,6,3
1761,-34720,5,5
1762,-35144,6,3
1763,15424,6,6
1764,-3716,6,2
1765,-122748,6,2
1766,9120,4,5
1767,57732,6,2
1768,42096,6,4
1769,-43392,6,7
1770,34608,6,4
1771,-6136,6,3
1772,11892,6,2
1773,123904,5,10
1774,32400,5,4
1775,4764,6,2
1776,73856,5,7
1777,-26488,6,3
1778,8960,6,8
1779,-73952,5,5
1780,150480,5,4
1781,4224,5,7
1782,-33936,6,4
1783,-30032,6,4
1784,59984,5,4
1785,-186876,6,2
1786,19920,4,4
1787,14208,4,7
1788,-152,5,3
1789,19208,5,3
1790,107968,5,6
1791,-8360,6,3
1792,-9840,5,4
1793,-30552,5,3
1794,-4808,5,3
1795,-102944,5,5
1796,129440,4,5
1797,20992,5,9
1798,13752,6,3
1799,65288,5,3
1800,-22240,5,5
1801,47200,6,5
1802,140456,5,3
1803,104912,5,4
1804,34464,4,5
1805,-40704,5,8
1806,-6552,6,3
1807,-7040,5,7
1808,50864,5,4
1809,-63152,6,4
1810,35768,5,3
1811,-109536,6,5
1812,-83536,6,4
1813,-3712,6,7
1814,15072,6,5
1815,28720,5,4
1816,-48184,6,3
1817,-39872,6,6
1818,344,5,3
1819,188208,5,4
1820,29512,5,3
1821,21312,4,6
1822,4440,5,3
1823,-24332,6,2
1824,-73568,5,5
1825,4288,6,6
1826,-13904,5,4
1827,111328,6,5
1828,21696,5,6
1829,-21344,5,5
1830,3936,5,5
1831,-63656,5,3
1832,-103240,6,3
1833,39328,5,5
1834,-23008,5,5
1835,-15204,6,2
1836,-39696,5,4
1837,36320,5,5
1838,-128112,6,4
1839,-20464,5,4
1840,368,5,4
1841,-25320,6,3
1842,109024,5,5
1843,-21784,6,3
1844,74476,6,2
1845,-328268,6,2
1846,464,6,4
1847,22488,6,3
1848,10800,6,4
1849,13848,6,3
1850,-50512,5,4
1851,59360,5,5
1852,-15296,5,6
1853,-45888,4,6
1854,4992,5,7
1855,-14616,6,3
1856,9828,6,2
1857,-74512,6,4
1858,-42992,5,4
1859,13192,6,3
1860,-114752,4,6
1861,-17280,5,7
1862,20536,6,3
1863,31840,5,5
1864,15624,5,3
1865,48552,6,3
1866,33136,5,4
1867,7992,5,3
1868,-65600,6,6
1869,-6144,5,11
1870,-15288,6,3
1871,-16392,6,3
1872,2688,4,7
1873,-16048,6,4
1874,36816,5,4
1875,-4400,5,4
1876,9360,5,4
1877,-139096,5,3
1878,37744,5,4
1879,40256,5,6
1880,21624,6,3
1881,61120,4,6
1882,13520,5,4
1883,49232,6,4
1884,113600,4,6
1885,-167572,6,2
1886,-36712,6,3
1887,-53832,6,3
1888,46368,5,5
1889,-26592,5,5
1890,24836,6,2
1891,35208,6,3
1892,-34176,4,7
1893,-71824,6,4
1894,-41600,5,7
1895,98928,5,4
1896,7744,5,6
1897,-63000,6,3
1898,-7964,6,2
1899,43288,5,3
1900,25416,6,3
1901,89984,5,7
1902,46544,5,4
1903,-108576,5,5
1904,12460,6,2
1905,1024,6,10
1906,53676,6,2
1907,-113096,5,3
1908,48336,5,4
1909,54848,5,6
1910,-25008,5,4
1911,-25360,6,4
1912,40440,6,3
1913,-39936,5,10
1914,128,6,7
1915,-20672,5,6
1916,100944,6,4
1917,-28368,5,4
1918,-5136,5,4
1919,37032,5,3
1920,6612,6,2
1921,-46360,6,3
1922,7416,5,3
1923,9976,6,3
1924,-6560,6,5
1925,140488,6,3
1926,-792,6,3
1927,6288,6,4
1928,-1200,5,4
1929,-124064,5,5
1930,113008,6,4
1931,-5608,6,3
1932,-5340,6,2
1933,-19024,6,4
1934,16160,5,5
1935,22384,5,4
1936,-33280,5,9
1937,-12992,6,6
1938,26736,5,4
1939,18984,5,3
1940,29216,5,5
1941,-4768,5,5
1942,50256,6,4
1943,-41024,5,6
1944,-1568,4,5
1945,44328,5,3
1946,-31696,5,4
1947,37280,6,5
1948,-90960,5,4
1949,-238416,6,4
1950,18440,6,3
1951,44288,5,8
1952,-81920,4,14
1953,-9856,4,7
1954,-8592,6,4
1955,6384,6,4
1956,132012,6,2
1957,352,5,5
1958,976,5,4
1959,-10948,6,2
1960,53448,6,3
1961,68648,5,3
1962,9472,4,8
1963,5184,5,6
1964,20168,6,3
1965,-87608,6,3
1966,5760,5,7
1967,8384,6,6
1968,0,5,inf
1969,-26112,4,9
1970,119924,6,2
1971,-75552,4,5
1972,-32752,5,4
1973,72576,6,7
1974,624,5,4
1975,-128880,5,4
1976,-116352,5,7
1977,-41616,5,4
1978,8312,6,3
1979,928,5,5
1980,9624,5,3
1981,20904,5,3
1982,37268,6,2
1983,38340,6,2
1984,6400,4,8
1985,-24880,6,4
1986,31152,5,4
1987,-28480,5,6
1988,131232,5,5
1989,-18944,5,9
1990,149824,6,6
1991,-84000,5,5
1992,-3000,6,3
1993,108528,5,4
1994,-12768,5,5
1995,101928,5,3
1996,7464,6,3
1997,1008,6,4
1998,11000,6,3
1999,112968,6,3
2000,-6768,5,4
2001,13696,5,7
2002,12576,5,5
2003,169360,6,4
2004,-63548,6,2
2005,49992,6,3
2006,39336,5,3
2007,-90192,6,4
2008,70080,5,6
2009,-48156,6,2
2010,21744,5,4
2011,-98832,5,4
2012,7968,5,5
2013,4096,4,12
2014,26688,5,6
2015,74912,4,5
2016,-8512,5,6
2017,-8060,6,2
2018,8976,4,4
2019,64896,5,7
2020,-119872,5,6
2021,79360,4,9
2022,324228,6,2
2023,-26616,6,3
2024,10784,5,5
2025,-30984,6,3
2026,-9768,5,3
2027,128116,6,2
2028,29888,5,6
2029,-56720,6,4
2030,9044,6,2
2031,134232,5,3
2032,-113176,6,3
2033,8976,5,4
2034,53420,6,2
2035,-26024,6,3
2036,916,6,2
2037,-47520,5,5
2038,158376,6,3
2039,-3840,5,8
2040,36176,5,4
2041,2624,5,6
2042,-55424,5,7
2043,135680,4,9
2044,-2864,5,4
2045,24424,6,3
2046,3584,4,9
2047,-20440,5,3
2048,45936,6,4
2049,-1312,5,5
2050,111040,5,6
2051,-97028,6,2
2052,-73704,6,3
2053,45248,4,6
2054,176368,6,4
2055,-42400,5,5
2056,-1728,4,6
2057,9216,6,10
2058,-72928,5,5
2059,40160,5,5
2060,-55332,6,2
2061,58880,4,9
2062,28528,6,4
2063,28200,5,3
2064,325408,5,5
2065,-21544,6,3
2066,32904,5,3
2067,-1600,4,6
2068,-4624,5,4
2069,67688,6,3
2070,7296,4,7
2071,-89744,6,4
2072,63792,5,4
2073,-12384,5,5
2074,34496,5,6
2075,123488,5,5
2076,203904,5,7
2077,58496,5,7
2078,40896,4,6
2079,-11152,5,4
2080,-12640,4,5
2081,-14976,4,7
2082,-11680,6,5
2083,656,6,4
2084,-34560,6,8
2085,-21252,6,2
2086,-46080,3,10
2087,19328,5,7
2088,67788,6,2
2089,-13440,5,7
2090,-65008,6,4
2091,131256,6,3
2092,51712,5,9
2093,-102000,5,4
2094,7688,5,3
2095,22816,4,5
2096,6504,6,3
2097,-5080,6,3
2098,16128,5,8
2099,-1616,5,4
2100,97728,5,6
2101,-93744,6,4
2102,178960,5,4
2103,-31776,5,5
2104,59304,6,3
2105,49152,6,14
2106,-6432,5,5
2107,-22192,6,4
2108,20856,6,3
2109,-179328,4,7
2110,-21008,6,4
2111,-17072,5,4
2112,18772,6,2
2113,-20016,5,4
2114,31072,6,5
2115,111456,5,5
2116,10552,5,3
2117,-9344,5,7
2118,-16104,5,3
2119,-1064,6,3
2120,-108332,6,2
2121,80608,6,5
2122,-34940,6,2
2123,-57780,6,2
2124,-89724,6,2
2125,-28176,6,4
2126,19744,5,5
2127,9168,5,4
2128,-77504,5,6
2129,-71744,5,6
2130,-43888,5,4
2131,54912,6,7
2132,34192,5,4
2133,-22648,6,3
2134,-29544,5,3
2135,28376,5,3
2136,-6504,5,3
2137,46872,6,3
2138,23360,5,6
2139,-16800,5,5
2140,-8064,5,7
2141,-91380,6,2
2142,-114528,6,5
2143,-5428,6,2
2144,-14800,6,4
2145,-25452,6,2
2146,-61760,5,6
2147,34864,5,4
2148,52864,5,7
2149,44688,6,4
2150,24480,5,5
2151,-275808,5,5
2152,-13232,6,4
2153,-79352,5,3
2154,-78800,6,4
2155,31416,5,3
2156,35496,6,3
2157,1632,5,5
2158,89728,5,7
2159,88608,4,5
2160,120756,6,2
2161,7872,5,6
2162,100352,5,11
2163,-70224,5,4
2164,-158168,6,3
2165,-13804,6,2
2166,35840,5,10
2167,22064,6,4
2168,99420,6,2
2169,7544,6,3
2170,-299184,5,4
2171,-13312,5,10
2172,41480,5,3
2173,-65232,5,4
2174,84624,6,4
2175,-23344,5,4
2176,-126752,6,5
2177,-68256,5,5
2178,5640,6,3
2179,-16600,6,3
2180,-64640,5,7
2181,-30672,5,4
2182,115632,6,4
2183,122560,5,6
2184,149664,5,5
2185,76320,4,5
2186,-1376,5,5
2187,12316,6,2
2188,38744,5,3
2189,15584,5,5
2190,86912,5,7
2191,-16940,6,2
2192,-8280,6,3
2193,-75792,5,4
2194,3952,5,4
2195,5696,5,6
2196,197316,6,2
2197,36036,6,2
2198,58528,6,5
2199,96408,6,3
2200,-21888,5,7
2201,-26060,6,2
2202,29152,4,5
2203,-3120,6,4
2204,-26880,6,8
2205,-187648,5,8
2206,-16,5,4
2207,-65208,5,3
2208,-22944,5,5
2209,-16936,6,3
2210,-75600,5,4
2211,-10848,5,5
2212,60336,5,4
2213,-20160,4,6
2214,-24000,6,6
2215,64360,6,3
2216,-18688,4,8
2217,-5440,4,6
2218,49440,5,5
2219,-27136,6,9
2220,205112,6,3
2221,-19800,5,3
2222,-112224,5,5
2223,6000,5,4
2224,-72640,5,6
2225,-84560,5,4
2226,80856,6,3
2227,45656,6,3
2228,-33720,6,3
2229,8976,5,4
2230,-9272,5,3
2231,-196200,6,3
2232,-320,5,6
2233,48180,6,2
2234,-22168,6,3
2235,-37456,5,4
2236,31584,5,5
2237,-27880,5,3
2238,110304,6,5
2239,4272,6,4
2240,-88728,6,3
2241,-42112,5,7
2242,-6784,4,7
2243,-70224,5,4
2244,-104256,4,6
2245,-23520,6,5
2246,-29344,4,5
2247,912,5,4
2248,9408,4,6
2249,-89536,5,6
2250,-9648,4,4
2251,3984,6,4
2252,99444,6,2
2253,16912,6,4
2254,-20688,5,4
2255,70256,5,4
2256,-4400,5,4
2257,-48852,6,2
2258,20864,6,7
2259,-121440,4,5
2260,-22176,5,5
2261,4512,4,5
2262,-19260,6,2
2263,-5184,4,6
2264,2688,5,7
2265,35360,4,5
2266,264560,6,4
2267,8712,6,3
2268,-137140,6,2
2269,5960,6,3
2270,-70224,5,4
2271,-171888,5,4
2272,40432,5,4
2273,-154912,5,5
2274,65024,5,9
2275,5992,5,3
2276,74224,5,4
2277,-44260,6,2
2278,95912,6,3
2279,7672,6,3
2280,193564,6,2
2281,1568,5,5
2282,30976,4,8
2283,-68544,4,6
2284,-31936,5,6
2285,-167920,5,4
2286,8536,5,3
2287,80944,6,4
2288,-5744,5,4
2289,28080,5,4
2290,-52696,6,3
2291,9912,5,3
2292,-50176,6,10
2293,27480,6,3
2294,22380,6,2
2295,-152960,6,7
2296,22416,6,4
2297,79456,5,5
2298,-2360,6,3
2299,25656,6,3
2300,4592,5,4
2301,-22656,6,7
2302,-48128,4,10
2303,-82224,5,4
2304,-99952,5,4
2305,38136,5,3
2306,-1260,6,2
2307,-8032,4,5
2308,-16992,4,5
2309,-105732,6,2
2310,50224,5,4
2311,224,4,5
2312,41888,6,5
2313,131840,5,8
2314,16336,5,4
2315,10752,5,9
2316,20632,5,3
2317,-50688,3,9
2318,-81768,5,3
2319,-44624,6,4
2320,-19180,6,2
2321,-91104,5,5
2322,-2704,6,4
2323,4424,5,3
2324,59392,3,11
2325,-12672,5,7
2326,11168,5,5
2327,-83280,6,4
2328,257472,5,6
2329,-3024,6,4
2330,-5184,5,6
2331,-69104,5,4
2332,26612,6,2
2333,-46800,5,4
2334,13216,6,5
2335,-47356,6,2
2336,-66120,6,3
2337,17376,5,5
2338,-102536,5,3
2339,32064,6,6
2340,34752,5,6
2341,-87628,6,2
2342,184960,4,7
2343,2304,4,8
2344,13504,6,6
2345,-5288,6,3
2346,-44208,5,4
2347,205372,6,2
2348,4368,5,4
2349,-63768,5,3
2350,0,4,inf
2351,108192,6,5
2352,-45320,6,3
2353,-3168,5,5
2354,-43568,4,4
2355,-34304,5,9
2356,-244752,5,4
2357,-238184,6,3
2358,2736,5,4
2359,23168,5,7
2360,-26280,6,3
2361,-72620,6,2
2362,41472,5,9
2363,48240,5,4
2364,-24640,4,6
2365,-39784,5,3
2366,33192,6,3
2367,-61440,5,12
2368,-35232,5,5
2369,30456,6,3
2370,-61104,5,4
2371,15216,6,4
2372,19836,6,2
2373,-78320,4,4
2374,144960,4,6
2375,25620,6,2
2376,-30440,6,3
2377,-92608,6,6
2378,-93192,5,3
2379,42368,5,7
2380,980,6,2
2381,5760,4,7
2382,1760,4,5
2383,2184,5,3
2384,78080,3,8
2385,-30592,5,7
2386,158724,6,2
2387,-175040,5,6
2388,86960,6,4
2389,-55096,5,3
2390,-15424,5,6
2391,50120,5,3
2392,-984,6,3
2393,31944,6,3
2394,-64784,5,4
2395,28992,5,6
2396,-27056,5,4
2397,-184496,5,4
2398,7200,5,5
2399,51888,5,4
2400,111840,6,5
2401,-75112,5,3
2402,-24640,5,6
2403,44816,5,4
2404,-34848,5,5
2405,-9216,6,10
2406,-40960,6,13
2407,-98184,6,3
2408,-145368,6,3
2409,-51296,5,5
2410,0,5,inf
2411,19680,4,5
2412,-35296,5,5
2413,-123752,6,3
2414,20128,6,5
2415,72340,6,2
2416,22340,6,2
2417,-129320,5,3
2418,28064,5,5
2419,-7408,5,4
2420,6676,6,2
2421,-6432,4,5
2422,-44672,4,7
2423,-2304,5,8
2424,85632,3,7
2425,102624,5,5
2426,9800,6,3
2427,19200,4,8
2428,-78888,6,3
2429,23680,5,7
2430,129576,5,3
2431,11520,5,8
2432,14640,5,4
2433,-94272,4,6
2434,-6664,6,3
2435,-21908,6,2
2436,11440,5,4
2437,108672,6,7
2438,-29704,6,3
2439,30984,6,3
2440,-105136,5,4
2441,58016,5,5
2442,-134144,5,10
2443,-14400,5,6
2444,-34368,5,6
2445,-198016,5,7
2446,-102680,6,3
2447,93920,5,5
2448,-47312,5,4
2449,-324,6,2
2450,-26744,6,3
2451,32468,6,2
2452,-26720,5,5
2453,-5560,5,3
2454,-37016,5,3
2455,14888,5,3
2456,29376,5,6
2457,28040,6,3
2458,35328,6,9
2459,-42624,5,7
2460,1600,4,6
2461,-127064,6,3
2462,83088,6,4
2463,-16560,5,4
2464,46016,5,6
2465,-48752,6,4
2466,84096,6,7
2467,59496,6,3
2468,-4288,5,6
2469,384,6,7
2470,-73064,6,3
2471,3716,6,2
2472,-3096,6,3
2473,29928,5,3
2474,60052,6,2
2475,-49952,5,5
2476,168,5,3
2477,24036,6,2
2478,-100344,6,3
2479,3664,6,4
2480,16352,5,5
2481,3488,5,5
2482,36272,6,4
2483,70896,5,4
2484,68544,5,6
2485,3328,5,8
2486,86856,5,3
2487,-31400,6,3
2488,116360,5,3
2489,-97500,6,2
2490,-40480,5,5
2491,-16088,6,3
2492,29120,5,6
2493,-63680,6,6
2494,-107168,6,5
2495,72076,6,2
2496,-72480,5,5
2497,-89936,5,4
2498,-26976,5,5
2499,-15624,6,3
2500,64312,6,3
2501,69424,5,4
2502,49504,5,5
2503,47744,4,7
2504,-198596,6,2
2505,-47936,5,6
2506,-75728,5,4
2507,-36784,6,4
2508,960,5,6
2509,-63000,6,3
2510,29088,4,5
2511,-56488,5,3
2512,36144,5,4
2513,-17480,5,3
2514,-50380,6,2
2515,-25004,6,2
2516,-80880,5,4
2517,-29376,5,6
2518,-40640,6,6
2519,-15744,6,7
2520,-36984,5,3
2521,42536,6,3
2522,26568,6,3
2523,-37920,5,5
2524,35208,6,3
2525,15880,5,3
2526,36352,5,9
2527,5600,6,5
2528,93240,6,3
2529,-11052,6,2
2530,-59840,6,6
2531,2368,5,6
2532,32096,4,5
2533,24348,6,2
2534,5136,6,4
2535,215424,5,7
2536,25312,5,5
2537,6048,5,5
2538,121088,5,8
2539,143792,5,4
2540,-10080,5,5
2541,-48916,6,2
2542,-57384,6,3
2543,-37752,6,3
2544,-19040,5,5
2545,-12468,6,2
2546,32256,6,9
2547,6728,6,3
2548,-29984,5,5
2549,4032,5,6
2550,-34464,5,5
2551,-10064,5,4
2552,50976,6,5
2553,42840,6,3
2554,-11080,6,3
2555,14208,5,7
2556,-11712,4,6
2557,61376,5,6
2558,-8832,5,7
2559,-81460,6,2
2560,4384,5,5
2561,114152,6,3
2562,54152,6,3
2563,54912,4,7
2564,40544,6,5
2565,59904,5,9
2566,-3472,5,4
2567,-97728,6,6
2568,-77440,6,7
2569,-76208,5,4
2570,-114688,5,14
2571,-127232,4,8
2572,-3888,5,4
2573,-20744,6,3
2574,96,5,5
2575,1344,5,6
2576,54912,4,7
2577,22280,5,3
2578,-3240,6,3
2579,-480,5,5
2580,-111840,5,5
2581,-47392,5,5
2582,52800,4,6
2583,-74288,5,4
2584,-56848,6,4
2585,72540,6,2
2586,-132400,6,4
2587,-38048,5,5
2588,26976,4,5
2589,-52304,5,4
2590,43728,6,4
2591,-44872,5,3
2592,20080,4,4
2593,171912,6,3
2594,20488,6,3
2595,76128,5,5
2596,-19968,4,9
2597,67008,5,6
2598,-12512,5,5
2599,-183792,5,4
2600,-133872,6,4
2601,78384,5,4
2602,-6816,5,5
2603,69056,5,6
2604,6360,6,3
2605,-144544,6,5
2606,149016,6,3
2607,-37844,6,2
2608,16760,6,3
2609,-3456,4,7
2610,-30720,5,11
2611,72128,4,6
2612,145356,6,2
2613,-77792,4,5
2614,-53992,5,3
2615,0,5,inf
2616,154336,5,5
2617,-39104,5,6
2618,47936,5,6
2619,5736,6,3
2620,-36448,4,5
2621,-17856,5,6
2622,-137700,6,2
2623,-3004,6,2
2624,6888,5,3
2625,1664,5,7
2626,-141168,6,4
2627,49824,5,5
2628,32320,4,6
2629,-187832,6,3
2630,3384,6,3
2631,288768,5,11
2632,-2688,5,7
2633,32416,5,5
2634,1928,6,3
2635,27328,4,6
2636,-24520,6,3
2637,3136,5,6
2638,-45616,6,4
2639,1120,4,5
2640,149352,6,3
2641,-85968,4,4
2642,-48136,5,3
2643,-39208,6,3
2644,70224,5,4
2645,-130808,6,3
2646,114512,5,4
2647,-40056,5,3
2648,25344,4,8
2649,35824,5,4
2650,12480,6,6
2651,34536,6,3
2652,83560,6,3
2653,170240,5,8
2654,-56304,5,4
2655,104312,5,3
2656,-24012,6,2
2657,74784,5,5
2658,-47648,5,5
2659,-9040,6,4
2660,3624,6,3
2661,49656,6,3
2662,-73680,6,4
2663,21616,5,4
2664,-10752,5,9
2665,-1264,5,4
2666,19328,5,7
2667,49280,5,7
2668,-27456,5,6
2669,17024,5,7
2670,24624,4,4
2671,-131712,4,7
2672,-27200,5,6
2673,38400,5,9
2674,-287056,6,4
2675,59092,6,2
2676,-13648,4,4
2677,-139944,6,3
2678,-50688,4,9
2679,27424,5,5
2680,20896,5,5
2681,-264448,5,8
2682,46096,5,4
2683,-2088,5,3
2684,-83008,5,6
2685,25248,5,5
2686,13792,5,5
2687,101016,6,3
2688,-78496,5,5
2689,-31192,6,3
2690,-41520,5,4
2691,-69888,5,8
2692,-114720,5,5
2693,29568,4,7
2694,132112,6,4
2695,-6272,5,7
2696,-34304,4,9
2697,0,4,inf
2698,-32800,6,5
2699,-18944,3,9
2700,-16512,5,7
2701,-35152,6,4
2702,-143900,6,2
2703,-36800,5,6
2704,100616,5,3
2705,1232,5,4
2706,11776,4,9
2707,132080,5,4
2708,21464,5,3
2709,-61600,5,5
2710,-13536,5,5
2711,-18552,6,3
2712,-9728,6,9
2713,18704,5,4
2714,-61608,5,3
2715,42080,4,5
2716,-44280,5,3
2717,21824,4,6
2718,-6400,5,8
2719,28,6,2
2720,-28424,5,3
2721,-71872,5,6
2722,10920,5,3
2723,-2016,6,5
2724,60520,5,3
2725,-21168,4,4
2726,-67800,5,3
2727,26316,6,2
2728,-1536,5,9
2729,-5320,5,3
2730,25140,6,2
2731,-1704,6,3
2732,121840,6,4
2733,-47736,6,3
2734,9504,6,5
2735,31120,5,4
2736,-42096,6,4
2737,63792,5,4
2738,-61424,4,4
2739,-207528,6,3
2740,-38064,5,4
2741,-37744,6,4
2742,36368,6,4
2743,30224,5,4
2744,-40996,6,2
2745,30000,5,4
2746,-7744,5,6
2747,86352,6,4
2748,-69120,4,9
2749,57304,6,3
2750,55024,5,4
2751,8616,6,3
2752,-27040,5,5
2753,38216,5,3
2754,-22784,4,8
2755,-22272,6,8
2756,13632,5,6
