id,det_A,rank_F2_A,v2_detA
334,-3576,6,3
335,-62184,6,3
336,-20592,5,4
337,-31560,6,3
338,85384,6,3
339,-178752,5,6
340,83400,6,3
341,-23968,5,5
342,5008,5,4
343,-40032,5,5
344,-13920,5,5
345,-21568,4,6
346,-20628,6,2
347,6576,5,4
348,100352,5,11
349,-41456,5,4
350,-39064,5,3
351,-92560,5,4
352,-24528,5,4
353,13676,6,2
354,-3792,5,4
355,5096,5,3
356,-5288,6,3
357,-1872,6,4
358,27984,6,4
359,-22944,5,5
360,120640,5,6
361,-43120,5,4
362,16384,4,14
363,-90944,6,6
364,-5532,6,2
365,-9024,5,6
366,58624,5,8
367,-137832,6,3
368,25904,5,4
369,-10288,5,4
370,7216,5,4
371,75488,4,5
372,69984,6,5
373,-39624,5,3
374,24952,6,3
375,80880,5,4
376,48704,5,6
377,-23976,6,3
378,-7108,6,2
379,24304,4,4
380,31680,4,6
381,59360,6,5
382,-25216,6,7
383,-10864,6,4
384,-44272,5,4
385,-4608,5,9
386,-32880,5,4
387,38544,5,4
388,3996,6,2
389,67496,6,3
390,-53824,5,6
391,5120,3,10
392,-9688,5,3
393,-9280,6,6
394,-4200,6,3
395,-1872,5,4
396,4736,4,7
397,44544,6,9
398,-32256,4,9
399,5568,6,6
400,68720,5,4
401,952,6,3
402,33680,5,4
403,2668,6,2
404,51200,5,11
405,-36096,5,8
406,-11144,6,3
407,13224,6,3
408,-68304,6,4
409,-19712,6,8
410,-190752,5,5
411,51880,6,3
412,-3648,5,6
413,15232,5,7
414,-7384,6,3
415,-5504,4,7
416,-57984,5,7
417,-70432,5,5
418,-20248,5,3
419,-103824,5,4
420,-5152,6,5
421,-49472,4,6
422,-1008,5,4
423,7132,6,2
424,33696,5,5
425,-1344,4,6
426,-61704,5,3
427,11376,5,4
428,-194672,6,4
429,-1808,5,4
430,7056,5,4
431,-13376,5,6
432,-49376,6,5
433,258792,6,3
434,-62448,6,4
435,40320,6,7
436,-45312,4,8
437,-17820,6,2
438,47744,4,7
439,-312,6,3
440,13232,6,4
441,-12864,6,6
442,35248,6,4
443,114960,5,4
444,1792,5,8
445,18344,5,3
446,86348,6,2
447,-277424,5,4
448,-104360,6,3
449,18448,6,4
450,7008,6,5
451,-58056,5,3
452,-53600,5,5
453,-108416,5,7
454,61440,5,12
455,-93760,4,6
456,30992,6,4
457,-154592,5,5
458,40416,5,5
459,18712,6,3
460,114912,6,5
461,9376,5,5
462,65408,5,7
463,99312,5,4
464,-2796,6,2
465,13752,6,3
466,15912,6,3
467,-19776,6,6
468,82448,6,4
469,-24272,5,4
470,41504,5,5
471,-15104,4,8
472,86400,5,7
473,-135120,6,4
474,7296,4,7
475,28320,5,5
476,-181536,4,5
477,95648,5,5
478,-720,6,4
479,-1520,6,4
480,20768,5,5
481,80032,5,5
482,-15968,6,5
483,-8160,6,5
484,-20448,5,5
485,81000,6,3
486,-61440,5,12
487,123216,4,4
488,-2240,4,6
489,22400,5,7
490,33528,5,3
491,-69104,6,4
492,99224,6,3
493,29328,5,4
494,-81784,6,3
495,55824,5,4
496,103832,6,3
497,78288,5,4
498,39760,4,4
499,175920,6,4
500,32320,5,6
501,-14880,6,5
502,-118888,6,3
503,118880,5,5
504,24192,5,7
505,34952,6,3
506,-76520,6,3
507,-285484,6,2
508,8832,5,7
509,-93408,5,5
510,12856,6,3
511,-576,5,6
512,-56444,6,2
513,94368,5,5
514,36672,5,6
515,-12024,6,3
516,44980,6,2
517,44532,6,2
518,-52800,5,6
519,78928,6,4
520,95456,6,5
521,-18136,5,3
522,14972,6,2
523,77280,5,5
524,640,4,7
525,7228,6,2
526,-1316,6,2
527,47940,6,2
528,1272,6,3
529,-29960,5,3
530,217920,4,6
531,-76096,5,6
532,-63648,4,5
533,27552,5,5
534,34144,4,5
535,-9680,4,4
536,103008,5,5
537,9728,5,9
538,-1800,6,3
539,115584,5,7
540,1148,6,2
541,222636,6,2
542,-69752,5,3
543,14904,5,3
544,-59680,5,5
545,-13952,5,7
546,-18520,6,3
547,-19904,5,6
548,-4360,6,3
549,11424,5,5
550,-4480,5,7
551,312,6,3
552,29920,6,5
553,29824,5,7
554,-2640,5,4
555,-61644,6,2
556,-14064,5,4
557,-18432,4,11
558,-140480,5,6
559,-20032,5,6
560,93292,6,2
561,-28984,6,3
562,-3936,6,5
563,38400,5,9
564,-55488,5,6
565,-53348,6,2
566,-13856,5,5
567,18432,5,11
568,-69264,5,4
569,65280,6,8
570,-125536,5,5
571,29920,5,5
572,-17184,5,5
573,-52472,5,3
574,-81680,6,4
575,1000,6,3
576,-63040,5,6
577,-33056,5,5
578,-70592,4,6
579,-145472,4,6
580,-173184,5,7
581,16576,5,6
582,-53184,4,6
583,1520,5,4
584,-78120,5,3
585,20096,5,7
586,30976,5,8
587,29160,6,3
588,136432,6,4
589,94320,5,4
590,47152,5,4
591,177648,6,4
592,-111584,5,5
593,8512,5,6
594,114160,5,4
595,2112,5,6
596,-2736,5,4
597,13212,6,2
598,-20832,5,5
599,2944,5,7
600,-38024,5,3
601,79376,6,4
602,-37664,6,5
603,-4080,5,4
604,49328,6,4
605,-4764,6,2
606,79128,5,3
607,58608,5,4
608,202000,6,4
609,62624,5,5
610,110768,5,4
611,-4160,4,6
612,-95504,6,4
613,14848,5,9
614,-13728,5,5
615,15680,5,6
616,-6872,6,3
617,-55440,6,4
618,-47816,6,3
619,-20768,6,5
620,-6160,5,4
621,114880,4,6
622,0,5,inf
623,22408,5,3
624,-19688,6,3
625,122512,6,4
626,4560,5,4
627,122832,6,4
628,-2064,6,4
629,-24216,5,3
630,-54560,6,5
631,137472,5,8
632,3024,5,4
633,0,5,inf
634,87248,6,4
635,110112,5,5
636,-39520,6,5
637,-73488,6,4
638,-125232,5,4
639,-29352,6,3
640,48484,6,2
641,7640,6,3
642,2408,5,3
643,-900,6,2
644,-19488,5,5
645,44752,5,4
646,400,6,4
647,-175760,5,4
648,-94144,5,6
649,5080,5,3
650,35024,5,4
651,-4928,4,6
652,-163640,5,3
653,-21504,5,10
654,155240,6,3
655,1696,4,5
656,25920,5,6
657,70704,5,4
658,91856,5,4
659,21600,5,5
660,-16640,3,8
661,576,5,6
662,6256,6,4
663,15512,6,3
664,-87648,5,5
665,138624,4,7
666,-33600,6,6
667,952,6,3
668,-15232,6,7
669,16888,6,3
670,53112,6,3
671,-44784,5,4
672,25944,6,3
673,46656,5,6
674,1136,5,4
675,-40640,4,6
676,37824,5,6
677,1528,6,3
678,64868,6,2
679,182432,5,5
680,112800,6,5
681,105408,4,6
682,12240,6,4
683,-15336,6,3
684,-116688,6,4
685,-43920,5,4
686,-28512,5,5
687,5888,4,8
688,-10600,6,3
689,53984,5,5
690,-25980,6,2
691,5104,5,4
692,64968,6,3
693,-72280,6,3
694,45988,6,2
695,-69736,5,3
696,-20420,6,2
697,2880,6,6
698,-12792,6,3
699,8600,5,3
700,112128,4,9
701,21560,5,3
702,94976,6,8
703,-89880,6,3
704,-105120,4,5
705,-79968,6,5
706,1480,6,3
707,57912,6,3
708,74928,5,4
709,-9984,5,8
710,31968,5,5
711,-12160,6,7
712,12000,5,5
713,31488,5,8
714,26816,4,6
715,-25152,4,6
716,69372,6,2
717,18920,6,3
718,0,4,inf
719,-44960,5,5
720,33344,5,6
721,80744,6,3
722,-93184,4,10
723,16720,5,4
724,102384,5,4
725,-77916,6,2
726,4576,5,5
727,-24656,6,4
728,25188,6,2
729,12928,4,7
730,-2080,5,5
731,89248,5,5
732,-14432,5,5
733,20288,4,6
734,1992,6,3
735,9408,4,6
736,-28800,5,7
737,11456,6,6
738,-45816,6,3
739,1184,5,5
740,-704,5,6
741,-21216,5,5
742,-138432,5,6
743,-41888,5,5
744,-10064,5,4
745,-62912,4,6
746,5760,5,7
747,105856,4,7
748,-76736,4,6
749,92364,6,2
750,-70200,6,3
751,-7728,5,4
752,50720,6,5
753,52992,3,8
754,6312,6,3
755,54112,5,5
756,-18700,6,2
757,-37168,6,4
758,-46528,5,6
759,-106392,6,3
760,47580,6,2
761,18732,6,2
762,-89376,4,5
763,-24576,5,13
764,2248,5,3
765,38552,6,3
766,-90552,6,3
767,-52864,5,7
768,17664,4,8
769,67344,4,4
770,-10224,5,4
771,-7040,5,7
772,16000,5,7
773,-89016,6,3
774,3720,6,3
775,-11356,6,2
776,-90376,6,3
